categorie;make_model;sipp;Rate Code;Basse Saison;Moyenne Saison;Haute Saison;Très Haute Saison;Festive
A4;KIA PICANTO;ECAR;AFFA1;39;49;69;89;237
A5;SUZUKI CELERIO;MCAR;AFFA1;59;71;100;130;349
B4;KIA RIO;CDAR;AFFA1;60;72;102;132;355
B5;FORD FOCUS;CCAR;AFFA1;65;78;111;143;386
C;SUZUKI JIMNY 3P;IFAR;AFFA1;69;83;117;152;408
D;SUZUKI JIMNY 5P;SFAR;AFFA1;89;107;151;196;526
D5;RENAULT DUSTER;CFAR;AFFA1;89;107;151;196;526
E;JEEP WRANGLER 3P;IGAR;AFFA1;190;228;323;418;1125
F;MINI COOPER;CTAR;AFFA1;95;114;162;209;563
F5;MINI COOPER SPORT;NTAR;AFFA1;140;168;238;308;829
H;KIA SELTOS;FDAR;AFFA1;91;109;155;200;539
I4;MITSUBISHI PAJERO SPORT;FVAR;AFFA1;230;276;299;506;1362
J;JEEP WRANGLER 5P;GFAR;AFFA1;215;258;366;473;1274
K;MINI COUNTRYMAN;ILAR;AFFA1;109;131;185;240;645
M;CHRYSLER PACIFICA;PVAR;AFFA1;180;216;306;396;1066
N0;VOLKSWAGEN T-ROC CABRIO;ITAR;AFFA1;90;108;135;198;533
N1;BMW SERIE 2 CABRIO;STAR;AFFA1;90;108;135;198;533
O;JETOUR Traveler;WFAR;AFFA1;160;192;272;352;947
O5;TANK 300;FFAR;AFFA1;160;192;272;352;947
P;FORD BRONCO;WTAR;AFFA1;215;258;366;473;1274
W;WULING Yep 3P;IFAE;AFFA1;65;78;90;143;386
W1;TESLA MODEL S;XXAR;AFFA1;110;132;187;242;651
Y;WULING Yep+ 5P;SFAE;AFFA1;70;84;98;154;414
Z;AUDI Q3 SPORTBACK;PFAR;AFFA1;140;168;238;308;829
Z5;JEEP COMPASS;XFAR;AFFA1;125;150;213;275;741
A4;KIA PICANTO;ECAR;AFFA7;33;42;59;76;127
A5;SUZUKI CELERIO;MCAR;AFFA7;51;61;86;111;187
B4;KIA RIO;CDAR;AFFA7;51;62;87;113;190
B5;FORD FOCUS;CCAR;AFFA7;56;67;95;123;207
C;SUZUKI JIMNY 3P;IFAR;AFFA7;59;71;100;130;219
D;SUZUKI JIMNY 5P;SFAR;AFFA7;76;92;129;168;282
D5;RENAULT DUSTER;CFAR;AFFA7;76;92;129;168;282
E;JEEP WRANGLER 3P;IGAR;AFFA7;163;195;277;358;703
F;MINI COOPER;CTAR;AFFA7;81;98;139;179;452
F5;MINI COOPER SPORT;NTAR;AFFA7;120;144;204;264;564
H;KIA SELTOS;FDAR;AFFA7;78;93;133;171;289
I4;MITSUBISHI PAJERO SPORT;FVAR;AFFA7;197;237;256;434;729
J;JEEP WRANGLER 5P;GFAR;AFFA7;184;221;314;405;682
K;MINI COUNTRYMAN;ILAR;AFFA7;93;112;159;206;345
M;CHRYSLER PACIFICA;PVAR;AFFA7;154;185;262;339;571
N0;VOLKSWAGEN T-ROC CABRIO;ITAR;AFFA7;77;93;116;170;385
N1;BMW SERIE 2 CABRIO;STAR;AFFA7;77;93;116;170;285
O;JETOUR Traveler;WFAR;AFFA7;137;165;233;302;607
O5;TANK 300;FFAR;AFFA7;137;165;233;302;607
P;FORD BRONCO;WTAR;AFFA7;184;221;314;405;782
W;WULING Yep 3P;IFAE;AFFA7;56;67;77;123;207
W1;TESLA MODEL S;XXAR;AFFA7;94;113;160;207;349
Y;WULING Yep+ 5P;SFAE;AFFA7;60;72;84;132;222
Z;AUDI Q3 SPORTBACK;PFAR;AFFA7;120;144;204;264;444
Z5;JEEP COMPASS;XFAR;AFFA7;107;129;183;236;397
A4;KIA PICANTO;ECAR;AFFA14;30;38;53;68;114
A5;SUZUKI CELERIO;MCAR;AFFA14;46;55;77;100;168
B4;KIA RIO;CDAR;AFFA14;46;56;78;102;171
B5;FORD FOCUS;CCAR;AFFA14;50;60;86;111;186
C;SUZUKI JIMNY 3P;IFAR;AFFA14;53;64;90;117;197
D;SUZUKI JIMNY 5P;SFAR;AFFA14;68;83;116;151;254
D5;RENAULT DUSTER;CFAR;AFFA14;68;83;116;151;254
E;JEEP WRANGLER 3P;IGAR;AFFA14;147;176;249;322;543
F;MINI COOPER;CTAR;AFFA14;73;88;125;161;340
F5;MINI COOPER SPORT;NTAR;AFFA14;108;130;184;238;420
H;KIA SELTOS;FDAR;AFFA14;70;84;120;154;260
I4;MITSUBISHI PAJERO SPORT;FVAR;AFFA14;177;213;230;391;656
J;JEEP WRANGLER 5P;GFAR;AFFA14;166;199;283;365;614
K;MINI COUNTRYMAN;ILAR;AFFA14;84;101;143;185;311
M;CHRYSLER PACIFICA;PVAR;AFFA14;139;167;236;305;514
N0;VOLKSWAGEN T-ROC CABRIO;ITAR;AFFA14;69;84;104;153;310
N1;BMW SERIE 2 CABRIO;STAR;AFFA14;69;84;104;153;310
O;JETOUR Traveler;WFAR;AFFA14;123;149;210;272;456
O5;TANK 300;FFAR;AFFA14;123;149;210;272;456
P;FORD BRONCO;WTAR;AFFA14;166;199;283;365;614
W;WULING Yep 3P;IFAE;AFFA14;50;60;69;111;199
W1;TESLA MODEL S;XXAR;AFFA14;85;102;144;186;314
Y;WULING Yep+ 5P;SFAE;AFFA14;54;65;76;119;220
Z;AUDI Q3 SPORTBACK;PFAR;AFFA14;108;130;184;238;400
Z5;JEEP COMPASS;XFAR;AFFA14;96;116;165;212;357
