categorie;make_model;sipp;Rate Code;Basse Saison;Moyenne Saison;Haute Saison;Très Haute Saison;Festive
A4;KIA PICANTO;ECAR;SBHDL;29;37;52;67;237
A5;SUZUKI CELERIO;MCAR;SBHDL;44;53;75;98;349
B4;KIA RIO;CDAR;SBHDL;45;54;77;99;355
B5;FORD FOCUS;CCAR;SBHDL;49;59;83;107;386
C;SUZUKI JIMNY 3P;IFAR;SBHDL;52;62;88;114;408
D;SUZUKI JIMNY 5P;SFAR;SBHDL;67;80;113;147;526
D5;RENAULT DUSTER;CFAR;SBHDL;67;80;113;147;526
E;JEEP WRANGLER 3P;IGAR;SBHDL;143;171;242;314;1125
F;MINI COOPER;CTAR;SBHDL;71;86;99;157;563
F5;MINI COOPER SPORT;NTAR;SBHDL;105;126;179;231;829
H;KIA SELTOS;FDAR;SBHDL;68;82;116;150;539
I4;MITSUBISHI PAJERO SPORT;FVAR;SBHDL;173;207;224;380;1362
J;JEEP WRANGLER 5P;GFAR;SBHDL;161;194;275;355;1274
K;MINI COUNTRYMAN;ILAR;SBHDL;82;98;139;180;645
M;CHRYSLER PACIFICA;PVAR;SBHDL;135;162;230;297;1066
N0;VOLKSWAGEN T-ROC CABRIO;ITAR;SBHDL;68;81;101;149;533
N1;BMW SERIE 2 CABRIO;STAR;SBHDL;68;81;101;149;533
O;JETOUR Traveler;WFAR;SBHDL;120;144;204;264;947
O5;TANK 300;FFAR;SBHDL;120;144;204;264;947
P;FORD BRONCO;WTAR;SBHDL;161;194;275;355;1274
W;WULING Yep 3P;IFAE;SBHDL;49;59;68;107;386
W1;TESLA MODEL S;XXAR;SBHDL;83;99;140;182;651
Y;WULING Yep+ 5P;SFAE;SBHDL;53;63;74;116;414
Z;AUDI Q3 SPORTBACK;PFAR;SBHDL;105;126;179;231;829
Z5;JEEP COMPASS;XFAR;SBHDL;94;113;160;206;741
A4;KIA PICANTO;ECAR;SBHWK;175,5;220,5;310,5;400,5;1422
A5;SUZUKI CELERIO;MCAR;SBHWK;265,5;319,5;450;585;2094
B4;KIA RIO;CDAR;SBHWK;270;324;459;594;2130
B5;FORD FOCUS;CCAR;SBHWK;292,5;351;499,5;643,5;2316
C;SUZUKI JIMNY 3P;IFAR;SBHWK;310,5;373,5;526,5;684;2448
D;SUZUKI JIMNY 5P;SFAR;SBHWK;400,5;481,5;679,5;882;3156
D5;RENAULT DUSTER;CFAR;SBHWK;400,5;481,5;679,5;882;3156
E;JEEP WRANGLER 3P;IGAR;SBHWK;855;1026;1453,5;1881;6750
F;MINI COOPER;CTAR;SBHWK;427,5;513;594;940,5;3378
F5;MINI COOPER SPORT;NTAR;SBHWK;630;756;1071;1386;4974
H;KIA SELTOS;FDAR;SBHWK;409,5;490,5;697,5;900;3234
I4;MITSUBISHI PAJERO SPORT;FVAR;SBHWK;1035;1242;1345,5;2277;8172
J;JEEP WRANGLER 5P;GFAR;SBHWK;967,5;1161;1647;2128,5;7644
K;MINI COUNTRYMAN;ILAR;SBHWK;490,5;589,5;832,5;1080;3870
M;CHRYSLER PACIFICA;PVAR;SBHWK;810;972;1377;1782;6396
N0;VOLKSWAGEN T-ROC CABRIO;ITAR;SBHWK;405;486;607,5;891;3198
N1;BMW SERIE 2 CABRIO;STAR;SBHWK;405;486;607,5;891;3198
O;JETOUR Traveler;WFAR;SBHWK;720;864;1224;1584;5682
O5;TANK 300;FFAR;SBHWK;720;864;1224;1584;5682
P;FORD BRONCO;WTAR;SBHWK;967,5;1161;1647;2128,5;7644
W;WULING Yep 3P;IFAE;SBHWK;292,5;351;405;643,5;2316
W1;TESLA MODEL S;XXAR;SBHWK;495;594;841,5;1089;3906
Y;WULING Yep+ 5P;SFAE;SBHWK;315;378;441;693;2484
Z;AUDI Q3 SPORTBACK;PFAR;SBHWK;630;756;1071;1386;4974
Z5;JEEP COMPASS;XFAR;SBHWK;562,5;675;958,5;1237,5;4446
